% Model:              Plasma Separator_Harry2.mph
% Version:            COMSOL 5.3.1.275
% Date:               Feb 11 2020, 14:03
% Dimension:          2
% Nodes:              3466
% Expressions:        3
% Description:        Velocity field, x component, Velocity field, y component, Velocity magnitude
% Length unit:        mm
% x                       y                        u (m/s)                  v (m/s)                  spf3.U (m/s)
20.800000000000004        8.28022155013324         0.09821526906197948      -6.893503992179282E-4    0.09821768822818999
20.800000000000004        8.322096550133244        0.09739087426320697      0.0011310500111708676    0.09739744177276712
20.66063755345094         8.301449523886756        0.09937781909233022      8.709473218304148E-5     0.09937785725723959
17.299999308385598        4.472500000000001        0.05385855775116238      -9.29688636548215E-4     0.053866581142636295
17.299999308385598        4.5275                   0.053758117110585334     4.36457000480444E-4      0.0537598888576667
17.194571341010406        4.500424989089296        0.05578576897854812      -1.8294417149051877E-4   0.05578606895182545
16.026866641481742        8.403676671696358        0                        0                        0
16                        8.4                      0                        0                        0
16.029028605080043        8.39792957019459         0.019972071229805995     0.004082897659893687     0.020385133860478074
16                        8.43002207110446         0                        0                        0
15.993441591738929        8.428264756551823        0.0010881368928226196    -0.005622275228874805    0.00572660638133449
13.059271389209409        8.5                      0                        0                        0
13.000000000000002        8.5                      0                        0                        0
13.059271389209409        8.486551083737195        0.01206450556830295      -4.2143045200952826E-4   0.012071863908837518
13.000000000000002        8.549785950098736        0                        0                        0
12.9879979317295          8.54481453064457         9.38483461537768E-4      -0.0019257497819991417   0.002142256621053989
9.2                       8.119768061425471        0                        0                        0
9.2                       8.2                      0                        0                        0
9.181634062410271         8.119768061425471        -0.0012694018323584797   -0.0185649935407986      0.018608341306572403
9.280341813166707         8.2                      0                        0                        0
9.280341813166707         8.219149915988659        -0.010178567058377485    -0.0021712084662812523   0.010407563286665072
9.000000000000002         8.335710784173546        0                        0                        0
9.015023897956258         8.335710784173546        4.5920160113205224E-4    0.002464878312271769     0.002507287619079623
9.000000000000002         8.4                      0                        0                        0
8.925388440398818         8.398452978304933        0                        0                        0
8.92390892439025          8.414897291083248        0.05010454896556977      0.0012917927150696634    0.05012119866345861
7.201547047638166         6.674612184936609        0                        0                        0
7.18567103719923          6.676053675850011        -9.545746453819018E-4    0.04457831129995423      0.044588530488335595
7.199999999999998         6.6                      0                        0                        0
7.26428921582645          6.6                      0                        0                        0
7.260396950410599         6.585473780508721        -0.016610384612733325    0.0030938074130575986    0.016896050464295438
0                         0.49019516246885025      0.12006247810055078      -7.785686060988802E-4    0.12006500246416373
0                         0.30092506202159597      0.20074295916847398      -3.5173362487662447E-4   0.20074326731489275
0.2017687706149335        0.38071601772382396      0.17334111777453995      0.002058242093680037     0.17335333706578343
0                         0.11167758722359145      0.12164169064727465      0.0011572149863881811    0.12164719499459076
0.24407327125677453       0.24519232802615548      0.1837386421623054       -0.0013178980194547259   0.18374336853023407
4                         0.46428921582645394      0                        0                        0
3.9842682412848247        0.4600739173228733       0.006734631109516685     -0.026803503079149013    0.02763662485715686
4                         0.4                      0                        0                        0
4.073382303332531         0.4                      0                        0                        0
4.073382303332531         0.3827565101890191       0.05848122617619756      -0.008056084203854126    0.05903350157132103
7.4                       0.6816571200068033       0                        0                        0
7.379018301258776         0.6816545159244211       -0.010727047317750964    0.051603577673937674     0.05270672417165941
7.4                       0.6                      0                        0                        0
7                         0.46428921582645377      0                        0                        0
7                         0.4                      0                        0                        0
7.015708132302166         0.46428921582645377      0.0012715781576304404    -0.008684735584873648    0.008777331211144618
6.926617696667471         0.4                      0                        0                        0
6.926617696667471         0.38228680237100965      0.06570178342848498      0.0017885059841840861    0.06572612189486769
7.482393621373988         0.5999999999999999       0                        0                        0
7.482393621373988         0.5781755609705881       -0.0018937715462494656   0.006872481640790887     0.007128630623927143
10.999999999999998        0.46428921582645394      0                        0                        0
10.983917293109315        0.4599798813447068       0.004472488399707957     -0.017949217357015768    0.018498041956242783
11                        0.4                      0                        0                        0
11.073870159488791        0.4                      0                        0                        0
11.073870159488791        0.3817415672221468       0.04199513319556527      -0.005002165098673519    0.042291995315752784
14                        0.33002207107708925      0                        0                        0
13.993352153791118        0.32824079177553805      0.0050878588679788995    -0.024857696652136534    0.025373044569190182
14                        0.3000000000000007       0                        0                        0
14.026866641478765        0.3036766716955266       0                        0                        0
14.02894892505715         0.29815520537973855      0.062206710617104186     0.010206343312047096     0.06303843501867341
20.800000000000004        0.08192741042723234      0.24236052051910717      -0.004974635448897949    0.2424115692456571
20.800000000000004        0.21693294346151454      0.24293153036120332      0.0035439742821598164    0.24295737938442796
20.57619930948279         0.1465042189041974       0.259222846936291        1.3461599214749083E-4    0.2592228818897381
20.60095166186549         8.316747125111034        0.09580801481139205      -1.1893351259504266E-4   0.09580808863180779
20.516247741121816        8.300797574095387        0.09921602429746688      1.3470425172374613E-4    0.09921611574049335
20.38040781005183         8.322324842401464        0.09297425534099751      -1.8689294677212738E-4   0.09297444318298743
20.58620365374069         8.285184625111034        0.09635620765154149      2.2044006306607542E-4    0.09635645980840302
20.345330463103792        8.278926404901464        0.09556718169731748      3.089896760079444E-4     0.09556768121173588
20.134989000456144        8.330212538678758        0.09003615745850183      -3.669097256087203E-4    0.09003690505919715
20.07514201986239         8.270525038678757        0.09015248779690671      -9.010505722819551E-5    0.09015253282572128
19.87139124359932         8.326808359119171        0.09158271091292412      1.7272346904996443E-4    0.09158287378957372
19.79175414362541         8.273683359119172        0.09136683904586719      -7.290815103592366E-5    0.09136686813518284
19.606310614697595        8.324376802290896        0.09311804426462886      1.0119866894213781E-4    0.09311809925487083
